date,type,client_id,product_id,quantity,total_amount
2024-01-12,Invoice,79212676.0,104,4,160.0
2024-01-13,Invoice,29597483.0,106,11,605.0
2024-01-13,Invoice,4308421.0,107,12,299.88
2024-01-13,Invoice,44349361.0,112,2,9.0
2024-01-13,Invoice,42133044.0,112,15,67.5
2024-01-13,Invoice,17637794.0,104,16,640.0
2024-01-13,Receipt,,111,6,45.0
2024-01-13,Receipt,,106,11,605.0
2024-01-13,Receipt,,110,14,279.86
2024-01-13,Receipt,,112,4,18.0
2024-01-13,Receipt,,108,9,130.5
2024-01-14,Invoice,27760841.0,104,15,600.0
2024-01-14,Invoice,344303.0,106,12,660.0
2024-01-14,Receipt,,101,11,93.5
2024-01-14,Invoice,44349361.0,107,12,299.88
2024-01-14,Invoice,85822412.0,111,10,75.0
2024-01-14,Receipt,,105,18,1439.82
2024-01-15,Receipt,,101,17,144.5
2024-01-15,Receipt,,103,13,123.5
2024-01-15,Invoice,26054020.0,102,9,7.65
2024-01-15,Receipt,,105,14,1119.86
2024-01-16,Receipt,,112,4,18.0
2024-01-16,Receipt,,105,16,1279.84
2024-01-16,Receipt,,109,4,140.0
2024-01-16,Receipt,,106,18,990.0
2024-01-16,Receipt,,103,7,66.5
2024-01-16,Invoice,73932360.0,108,8,116.0
2024-01-16,Receipt,,108,8,116.0
2024-01-16,Receipt,,105,19,1519.81
2024-01-16,Receipt,,106,9,495.0
2024-01-16,Receipt,,101,19,161.5
2024-01-16,Receipt,,104,9,360.0
2024-01-16,Receipt,,101,13,110.5
2024-01-17,Receipt,,108,10,145.0
2024-01-17,Receipt,,102,13,11.05
2024-01-17,Receipt,,109,2,70.0
2024-01-17,Receipt,,105,6,479.94
2024-01-17,Invoice,26054020.0,102,7,5.95
2024-01-17,Invoice,44349361.0,110,10,199.9
2024-01-17,Receipt,,104,11,440.0
2024-01-18,Invoice,26054020.0,108,3,43.5
2024-01-18,Receipt,,107,17,424.83
2024-01-18,Invoice,29597483.0,102,3,2.55
2024-01-18,Receipt,,109,19,665.0
2024-01-18,Receipt,,112,9,40.5
2024-01-18,Receipt,,110,2,39.98
2024-01-19,Receipt,,112,17,76.5
2024-01-19,Receipt,,101,9,76.5
2024-01-19,Receipt,,101,4,34.0
2024-01-19,Invoice,59345683.0,103,15,142.5
2024-01-19,Receipt,,112,11,49.5
2024-01-19,Invoice,85822412.0,101,19,161.5
2024-01-19,Invoice,81259008.0,103,7,66.5
2024-01-19,Receipt,,109,16,560.0
2024-01-20,Receipt,,106,20,1100.0
2024-01-20,Receipt,,105,17,1359.83
2024-01-20,Receipt,,109,11,385.0
2024-01-20,Invoice,29597483.0,109,1,35.0
2024-01-21,Receipt,,110,1,19.99
2024-01-21,Receipt,,107,1,24.99
2024-01-21,Invoice,59345683.0,108,3,43.5
2024-01-21,Invoice,27760841.0,111,19,142.5
2024-01-21,Receipt,,106,7,385.0
2024-01-22,Receipt,,110,15,299.85
2024-01-22,Receipt,,112,20,90.0
2024-01-22,Invoice,53826716.0,109,17,595.0
2024-01-22,Receipt,,112,16,72.0
2024-01-22,Receipt,,103,10,95.0
2024-01-22,Receipt,,104,20,800.0
2024-01-22,Receipt,,111,8,60.0
2024-01-22,Invoice,21127115.0,108,17,246.5
2024-01-22,Receipt,,110,3,59.97
2024-01-23,Receipt,,108,18,261.0
2024-01-23,Receipt,,103,14,133.0
2024-01-23,Receipt,,105,17,1359.83
2024-01-23,Invoice,35495029.0,103,12,114.0
2024-01-23,Receipt,,112,4,18.0
2024-01-23,Receipt,,102,1,0.85
2024-01-23,Receipt,,102,14,11.9
2024-01-23,Receipt,,105,19,1519.81
2024-01-24,Invoice,4180968.0,110,16,319.84
2024-01-24,Receipt,,102,7,5.95
2024-01-24,Invoice,85758349.0,107,4,99.96
2024-01-24,Receipt,,108,11,159.5
2024-01-25,Invoice,73932360.0,104,15,600.0
2024-01-26,Receipt,,107,1,24.99
2024-01-26,Receipt,,110,4,79.96
2024-01-26,Invoice,79089901.0,110,4,79.96
2024-01-26,Receipt,,107,19,474.81
2024-01-27,Receipt,,107,8,199.92
2024-01-27,Receipt,,103,7,66.5
2024-01-27,Receipt,,101,11,93.5
2024-01-27,Invoice,35495029.0,101,10,85.0
2024-01-27,Receipt,,110,4,79.96
2024-01-27,Receipt,,105,10,799.9
2024-01-27,Receipt,,106,18,990.0
2024-01-27,Receipt,,105,11,879.89
2024-01-27,Receipt,,101,19,161.5
2024-01-28,Invoice,30725714.0,108,13,188.5
2024-01-28,Receipt,,107,3,74.97
2024-01-28,Receipt,,104,6,240.0
2024-01-28,Receipt,,109,16,560.0
2024-01-28,Receipt,,106,4,220.0
2024-01-28,Receipt,,101,1,8.5
2024-01-28,Receipt,,102,16,13.6
2024-01-29,Invoice,10752378.0,107,14,349.86
2024-01-29,Receipt,,104,19,760.0
2024-01-29,Receipt,,102,20,17.0
2024-01-29,Receipt,,107,17,424.83
2024-01-29,Invoice,27760841.0,111,2,15.0
2024-01-29,Invoice,11819185.0,107,10,249.9
2024-01-29,Invoice,8004482.0,112,17,76.5
2024-01-30,Receipt,,112,18,81.0
2024-01-30,Receipt,,102,3,2.55
2024-01-30,Receipt,,105,13,1039.87
2024-01-30,Receipt,,101,3,25.5
2024-01-30,Receipt,,107,1,24.99
2024-01-30,Receipt,,109,14,490.0
2024-01-30,Invoice,39711319.0,108,11,159.5
2024-01-30,Receipt,,103,9,85.5
2024-01-30,Invoice,73932360.0,109,11,385.0
2024-01-30,Receipt,,103,3,28.5
2024-01-30,Receipt,,111,5,37.5
2024-01-30,Receipt,,106,11,605.0
2024-01-30,Receipt,,106,2,110.0
2024-01-30,Receipt,,101,7,59.5
2024-01-31,Receipt,,105,20,1599.8
2024-01-31,Invoice,8004482.0,109,5,175.0
2024-01-31,Invoice,79212676.0,104,8,320.0
2024-01-31,Receipt,,111,19,142.5
2024-01-31,Receipt,,107,7,174.93
2024-01-31,Receipt,,107,12,299.88
2024-02-01,Receipt,,112,16,72.0
2024-02-01,Receipt,,107,10,249.9
2024-02-01,Invoice,14508768.0,109,1,35.0
2024-02-01,Receipt,,105,8,639.92
2024-02-01,Receipt,,110,3,59.97
2024-02-01,Receipt,,103,13,123.5
2024-02-01,Receipt,,111,5,37.5
2024-02-01,Invoice,27888820.0,112,1,4.5
2024-02-02,Receipt,,104,7,280.0
2024-02-02,Receipt,,104,14,560.0
2024-02-03,Invoice,42133044.0,106,18,990.0
2024-02-03,Invoice,42133044.0,111,15,112.5
2024-02-03,Receipt,,109,17,595.0
2024-02-03,Receipt,,102,3,2.55
2024-02-03,Receipt,,112,13,58.5
2024-02-03,Receipt,,105,2,159.98
2024-02-03,Invoice,56581473.0,112,11,49.5
2024-02-03,Receipt,,108,16,232.0
2024-02-03,Receipt,,110,20,399.8
2024-02-03,Invoice,27888820.0,109,5,175.0
2024-02-03,Receipt,,105,3,239.97
2024-02-04,Receipt,,107,14,349.86
2024-02-04,Receipt,,106,4,220.0
2024-02-04,Receipt,,101,15,127.5
2024-02-04,Receipt,,108,14,203.0
2024-02-04,Receipt,,106,9,495.0
2024-02-04,Receipt,,109,18,630.0
2024-02-04,Invoice,88725654.0,105,7,559.93
2024-02-05,Invoice,9335534.0,101,16,136.0
2024-02-05,Receipt,,109,15,525.0
2024-02-05,Receipt,,106,11,605.0
2024-02-05,Receipt,,104,14,560.0
2024-02-05,Receipt,,105,17,1359.83
2024-02-05,Receipt,,105,6,479.94
2024-02-05,Invoice,85822412.0,106,6,330.0
2024-02-05,Receipt,,110,10,199.9
2024-02-06,Receipt,,101,5,42.5
2024-02-06,Invoice,8004482.0,109,2,70.0
2024-02-07,Receipt,,104,14,560.0
2024-02-07,Invoice,78270025.0,101,16,136.0
2024-02-07,Receipt,,106,4,220.0
2024-02-08,Invoice,73932360.0,112,7,31.5
2024-02-08,Receipt,,108,11,159.5
2024-02-08,Receipt,,104,1,40.0
2024-02-08,Invoice,10752378.0,107,17,424.83
2024-02-08,Receipt,,110,3,59.97
2024-02-08,Invoice,85822412.0,110,2,39.98
2024-02-08,Invoice,21127115.0,108,9,130.5
2024-02-08,Receipt,,110,5,99.95
2024-02-09,Invoice,14508768.0,104,7,280.0
2024-02-09,Receipt,,110,12,239.88
2024-02-09,Receipt,,102,1,0.85
2024-02-09,Receipt,,109,3,105.0
2024-02-10,Invoice,81415657.0,102,6,5.1
2024-02-10,Receipt,,109,13,455.0
2024-02-10,Invoice,92747083.0,110,20,399.8
2024-02-10,Invoice,10752378.0,107,6,149.94
2024-02-10,Invoice,72148284.0,105,19,1519.81
2024-02-11,Receipt,,112,6,27.0
2024-02-11,Receipt,,107,16,399.84
2024-02-11,Invoice,66344695.0,107,3,74.97
2024-02-11,Invoice,37028180.0,108,3,43.5
2024-02-11,Invoice,21127115.0,111,4,30.0
2024-02-11,Receipt,,106,1,55.0
2024-02-12,Receipt,,111,13,97.5
2024-02-12,Receipt,,112,2,9.0
2024-02-12,Receipt,,106,11,605.0
2024-02-12,Invoice,42436584.0,107,12,299.88
2024-02-12,Invoice,26054020.0,107,6,149.94
2024-02-12,Receipt,,102,19,16.15
2024-02-12,Receipt,,102,1,0.85
2024-02-12,Invoice,45540424.0,105,4,319.96
2024-02-13,Receipt,,108,12,174.0
2024-02-13,Receipt,,101,1,8.5
2024-02-13,Invoice,71969657.0,112,17,76.5
2024-02-13,Invoice,11819185.0,108,18,261.0
2024-02-13,Invoice,84525678.0,107,10,249.9
2024-02-14,Invoice,27888820.0,106,5,275.0
2024-02-14,Receipt,,105,4,319.96
2024-02-14,Invoice,85758349.0,103,13,123.5
2024-02-14,Receipt,,106,10,550.0
2024-02-14,Receipt,,103,6,57.0
2024-02-14,Invoice,26054020.0,111,9,67.5
2024-02-14,Receipt,,105,13,1039.87
2024-02-14,Invoice,17637794.0,109,12,420.0
2024-02-15,Receipt,,101,13,110.5
2024-02-15,Receipt,,107,2,49.98
2024-02-15,Receipt,,107,8,199.92
2024-02-15,Receipt,,110,9,179.91
2024-02-16,Receipt,,112,15,67.5
2024-02-16,Invoice,27888820.0,112,16,72.0
2024-02-16,Invoice,98860009.0,110,7,139.93
2024-02-16,Receipt,,102,6,5.1
2024-02-16,Receipt,,111,20,150.0
2024-02-16,Receipt,,104,9,360.0
2024-02-16,Receipt,,105,20,1599.8
2024-02-16,Invoice,98860009.0,111,18,135.0
2024-02-16,Receipt,,112,4,18.0
2024-02-16,Receipt,,103,16,152.0
2024-02-17,Invoice,27760841.0,111,8,60.0
2024-02-17,Receipt,,110,11,219.89
2024-02-17,Receipt,,106,1,55.0
2024-02-17,Receipt,,102,15,12.75
2024-02-17,Invoice,88725654.0,106,7,385.0
2024-02-17,Receipt,,109,15,525.0
2024-02-18,Receipt,,102,13,11.05
2024-02-18,Invoice,4308421.0,107,16,399.84
2024-02-18,Invoice,9335534.0,105,4,319.96
2024-02-18,Receipt,,109,2,70.0
2024-02-18,Invoice,9335534.0,112,5,22.5
2024-02-18,Receipt,,111,7,52.5
2024-02-18,Receipt,,104,15,600.0
2024-02-18,Receipt,,112,3,13.5
2024-02-18,Receipt,,101,10,85.0
2024-02-19,Receipt,,112,17,76.5
2024-02-19,Receipt,,107,6,149.94
2024-02-19,Invoice,66344695.0,112,14,63.0
2024-02-19,Receipt,,109,4,140.0
2024-02-19,Receipt,,109,12,420.0
2024-02-19,Receipt,,112,13,58.5
2024-02-19,Receipt,,102,17,14.45
2024-02-19,Receipt,,112,16,72.0
2024-02-19,Receipt,,103,20,190.0
2024-02-19,Receipt,,105,8,639.92
2024-02-20,Invoice,63709724.0,105,3,239.97
2024-02-20,Receipt,,106,4,220.0
2024-02-20,Receipt,,106,19,1045.0
2024-02-20,Invoice,21127115.0,108,15,217.5
2024-02-20,Invoice,64119726.0,109,10,350.0
2024-02-20,Invoice,11819185.0,106,16,880.0
2024-02-20,Receipt,,111,18,135.0
2024-02-20,Invoice,84525678.0,107,10,249.9
2024-02-21,Receipt,,101,2,17.0
2024-02-21,Receipt,,111,3,22.5
2024-02-21,Receipt,,110,15,299.85
2024-02-21,Invoice,37028180.0,112,13,58.5
2024-02-22,Receipt,,112,5,22.5
2024-02-22,Receipt,,104,8,320.0
2024-02-22,Receipt,,109,1,35.0
2024-02-22,Invoice,85822412.0,110,4,79.96
2024-02-22,Receipt,,103,1,9.5
2024-02-22,Receipt,,101,12,102.0
2024-02-22,Receipt,,103,4,38.0
2024-02-22,Receipt,,101,19,161.5
2024-02-22,Invoice,89774697.0,111,17,127.5
2024-02-23,Invoice,88725654.0,106,8,440.0
2024-02-23,Receipt,,110,11,219.89
2024-02-23,Receipt,,103,16,152.0
2024-02-23,Receipt,,106,5,275.0
2024-02-23,Invoice,30725714.0,111,14,105.0
2024-02-23,Receipt,,105,3,239.97
2024-02-23,Receipt,,111,20,150.0
2024-02-23,Invoice,21127115.0,104,4,160.0
2024-02-23,Receipt,,112,11,49.5
2024-02-24,Invoice,10752378.0,110,19,379.81
2024-02-24,Receipt,,102,10,8.5
2024-02-24,Receipt,,109,1,35.0
2024-02-24,Receipt,,105,3,239.97
2024-02-24,Receipt,,106,6,330.0
2024-02-24,Receipt,,110,10,199.9
2024-02-24,Receipt,,104,8,320.0
2024-02-25,Invoice,45540424.0,108,14,203.0
2024-02-25,Receipt,,106,11,605.0
2024-02-25,Receipt,,102,15,12.75
2024-02-25,Receipt,,103,6,57.0
2024-02-25,Receipt,,111,8,60.0
2024-02-25,Invoice,81259008.0,101,12,102.0
2024-02-25,Receipt,,108,5,72.5
2024-02-25,Receipt,,109,4,140.0
2024-02-26,Receipt,,108,7,101.5
2024-02-26,Invoice,35495029.0,109,11,385.0
2024-02-26,Receipt,,107,5,124.95
2024-02-26,Invoice,8004482.0,107,19,474.81
2024-02-26,Invoice,74252420.0,111,10,75.0
2024-02-26,Invoice,29597483.0,108,13,188.5
2024-02-27,Receipt,,101,16,136.0
2024-02-27,Receipt,,107,2,49.98
2024-02-27,Receipt,,110,19,379.81
2024-02-27,Receipt,,105,16,1279.84
2024-02-27,Receipt,,110,6,119.94
2024-02-28,Receipt,,105,14,1119.86
2024-02-28,Invoice,81415657.0,107,19,474.81
2024-02-28,Invoice,4308421.0,102,2,1.7
2024-02-28,Receipt,,109,9,315.0
2024-02-28,Receipt,,107,9,224.91
2024-02-29,Receipt,,111,7,52.5
2024-02-29,Invoice,98860009.0,103,19,180.5
2024-02-29,Receipt,,109,14,490.0
2024-02-29,Receipt,,103,13,123.5
2024-02-29,Receipt,,110,14,279.86
2024-02-29,Invoice,89774697.0,102,12,10.2
2024-02-29,Receipt,,106,9,495.0
2024-03-01,Invoice,44349361.0,104,12,480.0
2024-03-01,Invoice,89774697.0,108,7,101.5
2024-03-01,Receipt,,110,11,219.89
2024-03-01,Invoice,71969657.0,103,1,9.5
2024-03-01,Receipt,,103,17,161.5
2024-03-01,Invoice,79089901.0,110,6,119.94
2024-03-01,Receipt,,109,16,560.0
2024-03-01,Receipt,,111,20,150.0
2024-03-01,Invoice,79089901.0,110,14,279.86
2024-03-01,Receipt,,111,9,67.5
2024-03-01,Invoice,37388792.0,106,4,220.0
2024-03-01,Receipt,,105,13,1039.87
2024-03-01,Invoice,84525678.0,108,16,232.0
2024-03-01,Invoice,71969657.0,101,20,170.0
2024-03-02,Receipt,,104,8,320.0
2024-03-02,Receipt,,111,15,112.5
2024-03-02,Invoice,4308421.0,107,10,249.9
2024-03-02,Receipt,,106,7,385.0
2024-03-02,Receipt,,110,17,339.83
2024-03-02,Receipt,,103,18,171.0
2024-03-02,Receipt,,104,8,320.0
2024-03-03,Invoice,344303.0,102,12,10.2
2024-03-03,Receipt,,111,6,45.0
2024-03-03,Receipt,,106,6,330.0
2024-03-03,Invoice,344303.0,101,20,170.0
2024-03-03,Receipt,,106,13,715.0
2024-03-03,Invoice,85822412.0,110,17,339.83
2024-03-03,Invoice,37028180.0,108,6,87.0
2024-03-03,Receipt,,101,10,85.0
2024-03-03,Receipt,,112,19,85.5
2024-03-04,Invoice,39711319.0,105,18,1439.82
2024-03-04,Receipt,,106,18,990.0
2024-03-04,Receipt,,104,20,800.0
2024-03-04,Receipt,,108,7,101.5
2024-03-04,Receipt,,112,3,13.5
2024-03-04,Receipt,,108,1,14.5
2024-03-04,Invoice,71969657.0,109,2,70.0
2024-03-04,Receipt,,112,12,54.0
2024-03-04,Receipt,,104,20,800.0
2024-03-04,Receipt,,101,8,68.0
2024-03-04,Invoice,35495029.0,109,5,175.0
2024-03-04,Invoice,4180968.0,107,20,499.8
2024-03-05,Invoice,8004482.0,107,18,449.82
2024-03-05,Receipt,,104,10,400.0
2024-03-05,Receipt,,107,4,99.96
2024-03-05,Receipt,,104,3,120.0
2024-03-05,Receipt,,107,8,199.92
2024-03-06,Receipt,,108,18,261.0
2024-03-06,Receipt,,103,6,57.0
2024-03-06,Receipt,,107,7,174.93
2024-03-06,Receipt,,109,8,280.0
2024-03-06,Receipt,,109,15,525.0
2024-03-07,Receipt,,109,12,420.0
2024-03-07,Receipt,,112,18,81.0
2024-03-07,Invoice,39711319.0,101,14,119.0
2024-03-07,Receipt,,107,14,349.86
2024-03-07,Receipt,,106,18,990.0
2024-03-07,Receipt,,111,9,67.5
2024-03-08,Receipt,,106,6,330.0
2024-03-08,Receipt,,106,9,495.0
2024-03-08,Receipt,,108,1,14.5
2024-03-08,Receipt,,112,10,45.0
2024-03-08,Invoice,73932360.0,110,5,99.95
2024-03-08,Receipt,,107,19,474.81
2024-03-08,Receipt,,106,8,440.0
2024-03-08,Receipt,,110,12,239.88
2024-03-09,Receipt,,111,11,82.5
2024-03-09,Invoice,26054020.0,108,12,174.0
2024-03-09,Invoice,85758349.0,103,3,28.5
2024-03-09,Receipt,,101,2,17.0
2024-03-09,Receipt,,106,11,605.0
2024-03-09,Receipt,,110,14,279.86
2024-03-09,Receipt,,105,11,879.89
2024-03-09,Invoice,4308421.0,103,18,171.0
2024-03-09,Receipt,,111,5,37.5
2024-03-10,Invoice,59345683.0,103,6,57.0
2024-03-10,Receipt,,103,19,180.5
2024-03-10,Receipt,,108,17,246.5
2024-03-10,Receipt,,103,6,57.0
2024-03-10,Receipt,,108,17,246.5
2024-03-10,Receipt,,109,7,245.0
2024-03-10,Invoice,37388792.0,109,7,245.0
2024-03-11,Receipt,,106,3,165.0
2024-03-11,Receipt,,111,11,82.5
2024-03-11,Invoice,79212676.0,112,20,90.0
2024-03-11,Receipt,,104,14,560.0
2024-03-11,Receipt,,110,6,119.94
2024-03-11,Receipt,,101,6,51.0
2024-03-11,Receipt,,111,17,127.5
2024-03-11,Invoice,85758349.0,106,13,715.0
2024-03-11,Receipt,,103,17,161.5
2024-03-12,Receipt,,104,19,760.0
2024-03-12,Receipt,,101,9,76.5
2024-03-12,Receipt,,104,10,400.0
2024-03-12,Receipt,,110,19,379.81
2024-03-12,Receipt,,101,8,68.0
2024-03-12,Receipt,,102,14,11.9
2024-03-13,Invoice,35495029.0,112,19,85.5
2024-03-13,Receipt,,111,19,142.5
2024-03-13,Receipt,,110,17,339.83
2024-03-13,Receipt,,101,17,144.5
2024-03-13,Receipt,,112,1,4.5
2024-03-14,Invoice,98860009.0,105,20,1599.8
2024-03-14,Receipt,,105,5,399.95
2024-03-14,Receipt,,102,16,13.6
2024-03-14,Receipt,,104,1,40.0
2024-03-14,Receipt,,106,5,275.0
2024-03-14,Invoice,17637794.0,103,7,66.5
2024-03-14,Receipt,,109,20,700.0
2024-03-15,Receipt,,104,4,160.0
2024-03-15,Receipt,,101,9,76.5
2024-03-15,Receipt,,110,16,319.84
2024-03-15,Invoice,66344695.0,110,9,179.91
2024-03-15,Receipt,,108,16,232.0
2024-03-15,Receipt,,109,7,245.0
2024-03-15,Receipt,,106,14,770.0
2024-03-16,Receipt,,108,17,246.5
2024-03-16,Invoice,81259008.0,101,12,102.0
2024-03-16,Receipt,,105,19,1519.81
2024-03-16,Invoice,85822412.0,101,6,51.0
2024-03-16,Invoice,35495029.0,104,14,560.0
2024-03-16,Invoice,6323852.0,108,8,116.0
2024-03-17,Receipt,,109,14,490.0
2024-03-17,Invoice,59345683.0,109,7,245.0
2024-03-17,Receipt,,110,19,379.81
2024-03-17,Receipt,,105,4,319.96
2024-03-18,Receipt,,101,6,51.0
2024-03-18,Receipt,,105,2,159.98
2024-03-18,Receipt,,112,3,13.5
2024-03-18,Invoice,39711319.0,107,16,399.84
2024-03-18,Receipt,,105,10,799.9
2024-03-18,Receipt,,110,11,219.89
2024-03-19,Receipt,,102,6,5.1
2024-03-19,Invoice,79212676.0,110,8,159.92
2024-03-19,Receipt,,111,8,60.0
2024-03-19,Invoice,26054020.0,105,1,79.99
2024-03-19,Invoice,37388792.0,107,18,449.82
2024-03-19,Invoice,44349361.0,110,11,219.89
2024-03-19,Receipt,,103,7,66.5
2024-03-19,Receipt,,110,13,259.87
2024-03-19,Receipt,,106,7,385.0
2024-03-20,Receipt,,102,3,2.55
2024-03-20,Receipt,,109,9,315.0
2024-03-20,Receipt,,106,20,1100.0
2024-03-20,Invoice,85758349.0,112,20,90.0
2024-03-20,Receipt,,112,9,40.5
2024-03-20,Receipt,,110,1,19.99
2024-03-20,Receipt,,108,1,14.5
2024-03-21,Receipt,,112,10,45.0
2024-03-21,Invoice,37388792.0,109,5,175.0
2024-03-21,Invoice,54277800.0,101,14,119.0
2024-03-21,Receipt,,102,17,14.45
2024-03-21,Receipt,,108,9,130.5
2024-03-21,Receipt,,107,17,424.83
2024-03-21,Receipt,,102,19,16.15
2024-03-22,Receipt,,111,18,135.0
2024-03-22,Receipt,,102,18,15.3
2024-03-22,Invoice,30725714.0,112,3,13.5
2024-03-22,Receipt,,105,10,799.9
2024-03-23,Invoice,81259008.0,106,15,825.0
2024-03-23,Receipt,,111,5,37.5
2024-03-23,Receipt,,106,15,825.0
2024-03-23,Receipt,,108,20,290.0
2024-03-23,Invoice,81415657.0,109,14,490.0
2024-03-23,Receipt,,107,2,49.98
2024-03-23,Receipt,,102,12,10.2
2024-03-23,Receipt,,110,2,39.98
2024-03-24,Receipt,,105,5,399.95
2024-03-24,Receipt,,106,3,165.0
2024-03-24,Receipt,,101,9,76.5
2024-03-24,Receipt,,107,1,24.99
2024-03-24,Receipt,,106,7,385.0
2024-03-24,Receipt,,106,14,770.0
2024-03-24,Invoice,81259008.0,107,20,499.8
2024-03-24,Receipt,,106,15,825.0
2024-03-24,Invoice,4308421.0,106,2,110.0
2024-03-24,Receipt,,102,12,10.2
2024-03-25,Receipt,,102,7,5.95
2024-03-25,Receipt,,112,19,85.5
2024-03-25,Receipt,,103,17,161.5
2024-03-25,Receipt,,110,17,339.83
2024-03-25,Receipt,,106,10,550.0
2024-03-25,Invoice,53826716.0,105,17,1359.83
2024-03-25,Invoice,14508768.0,110,19,379.81
2024-03-25,Invoice,84525678.0,107,18,449.82
2024-03-26,Receipt,,106,14,770.0
2024-03-26,Receipt,,107,12,299.88
2024-03-26,Invoice,35495029.0,103,12,114.0
2024-03-26,Receipt,,103,1,9.5
2024-03-26,Receipt,,106,18,990.0
2024-03-26,Invoice,39711319.0,112,2,9.0
2024-03-27,Receipt,,111,19,142.5
2024-03-27,Receipt,,103,17,161.5
2024-03-27,Receipt,,111,20,150.0
2024-03-27,Receipt,,103,20,190.0
2024-03-27,Receipt,,106,10,550.0
2024-03-27,Invoice,17637794.0,102,10,8.5
2024-03-28,Receipt,,101,17,144.5
2024-03-28,Invoice,64119726.0,108,13,188.5
2024-03-28,Receipt,,104,18,720.0
2024-03-28,Receipt,,112,3,13.5
2024-03-28,Receipt,,110,4,79.96
2024-03-28,Invoice,63709724.0,110,5,99.95
2024-03-28,Receipt,,101,6,51.0
2024-03-29,Receipt,,107,12,299.88
2024-03-29,Receipt,,103,12,114.0
2024-03-29,Receipt,,109,15,525.0
2024-03-29,Invoice,54277800.0,101,6,51.0
2024-03-29,Invoice,56379329.0,105,13,1039.87
2024-03-29,Receipt,,109,3,105.0
2024-03-29,Invoice,74252420.0,107,11,274.89
2024-03-30,Invoice,56581473.0,106,13,715.0
2024-03-30,Receipt,,111,12,90.0
